CustomerID,State,CLV,Response,Coverage,Education,EffectiveToDate,EmploymentStatus,Gender,Income
AO98601,Washington,5018.885233,No,Basic,Bachelor,1/18/2011,Employed,M,54500
SK67821,Oregon,4932.916345,No,Basic,Bachelor,2/13/2011,Employed,F,37260
YV55495,Arizona,5744.229745,No,Basic,High School or Below,1/15/2011,Employed,F,68987
KY38074,California,13891.73567,No,Premium,Bachelor,1/8/2011,Employed,M,42305
DM79012,Oregon,7380.976717,No,Extended,Master,2/6/2011,Employed,F,65706
CM61827,Oregon,3090.034104,No,Extended,Bachelor,1/25/2011,Unemployed,M,
WC35801,Arizona,2521.633095,No,Basic,High School or Below,2/7/2011,Employed,M,53243
QG25316,Nevada,2652.061785,No,Basic,High School or Below,1/18/2011,Unemployed,F,
MB98372,Oregon,2771.045031,Yes,Basic,College,1/11/2011,Employed,F,50071
IL19217,California,3939.00637,Yes,Extended,Bachelor,1/28/2011,Employed,F,60021
SR38658,Arizona,12231.87968,No,Basic,High School or Below,2/8/2011,Employed,M,43244
DH41343,Washington,2443.665166,No,Basic,College,2/23/2011,Employed,M,92834
HG65722,Oregon,12819.10289,No,Premium,Doctor,1/25/2011,Disabled,F,10105
BU27331,Arizona,4468.510542,No,Basic,Bachelor,1/31/2011,Unemployed,M,
XM45289,Oregon,5514.344018,No,Basic,High School or Below,1/2/2011,Employed,F,23218
KP34198,California,3343.875326,No,Extended,Bachelor,2/7/2011,Unemployed,F,
SH90947,Arizona,2294.478927,No,Basic,High School or Below,1/18/2011,Unemployed,F,
WE95729,Oregon,36707.42639,No,Basic,College,1/17/2011,Employed,M,24804
PY51963,California,33473.34946,Yes,Basic,Bachelor,1/11/2011,Employed,F,33190
RB69909,Nevada,7983.431709,No,Basic,High School or Below,2/21/2011,Employed,F,36014
XR95069,Washington,4854.745666,No,Basic,Bachelor,2/16/2011,Employed,M,29834
FR46645,California,4293.997319,No,Premium,Bachelor,1/17/2011,Disabled,M,16701
SY17488,Arizona,7164.395543,No,Extended,College,2/5/2011,Employed,F,46623
AP67935,California,7619.5158,No,Basic,College,2/13/2011,Employed,M,64749
FS37417,Arizona,3958.002823,No,Basic,High School or Below,2/23/2011,Unemployed,F,
ML29312,Oregon,4499.493252,No,Extended,High School or Below,1/28/2011,Disabled,F,16969
UB61619,Oregon,4059.567414,No,Premium,Master,2/28/2011,Disabled,F,11621
CD86811,Arizona,4458.113369,Yes,Basic,Bachelor,1/2/2011,Retired,M,17622
RU83859,California,8110.333139,No,Premium,Bachelor,1/22/2011,Medical Leave,F,11489
FG63582,Oregon,3339.764873,No,Extended,Bachelor,1/15/2011,Unemployed,M,
NN71951,California,24261.01777,No,Basic,High School or Below,1/27/2011,Employed,F,66525
WB37082,Arizona,6613.973653,No,Basic,Bachelor,1/23/2011,Unemployed,F,
SM52139,Washington,2930.693543,No,Basic,College,1/31/2011,Employed,M,33663
FL82372,Oregon,8672.194272,No,Basic,College,1/26/2011,Employed,F,22547
DP45816,Arizona,11638.66926,No,Extended,High School or Below,1/10/2011,Employed,F,61486
GW33762,Oregon,6846.150323,Yes,Extended,Bachelor,1/27/2011,Unemployed,F,
RZ33670,California,11727.77648,No,Premium,College,1/9/2011,Disabled,F,29879
PY70169,Oregon,22643.83478,No,Basic,High School or Below,2/24/2011,Employed,M,93011
MO91628,Oregon,2614.474305,No,Basic,Master,2/11/2011,Employed,M,65186
HW87852,Oregon,2451.752695,No,Basic,Master,2/12/2011,Medical Leave,M,26840
HB20453,Oregon,6781.270203,No,Basic,Bachelor,2/4/2011,Unemployed,M,
BN87372,Oregon,4974.801539,Yes,Basic,Bachelor,1/18/2011,Employed,M,75644
YX23800,Oregon,8591.604933,No,Basic,Bachelor,2/11/2011,Employed,M,38984
DZ87709,Oregon,5592.161392,No,Basic,High School or Below,2/1/2011,Employed,F,71811
XW13033,Nevada,8009.472833,No,Basic,College,2/15/2011,Employed,M,20961
LN31673,Washington,11318.08982,No,Extended,College,2/6/2011,Employed,M,38923
OM82309,California,58166.55351,No,Basic,Bachelor,2/27/2011,Employed,M,61321
ZU35962,California,8025.229358,No,Extended,College,1/26/2011,Unemployed,F,
VH85817,California,5780.182197,Yes,Basic,High School or Below,2/26/2011,Employed,M,51066
DT85712,California,4118.539113,No,Basic,Doctor,1/27/2011,Employed,M,34378
YJ88573,Nevada,2523.07015,No,Basic,Master,1/16/2011,Employed,M,43072
SQ19467,Oregon,6554.216396,No,Extended,College,1/27/2011,Disabled,F,25222
HF88410,Washington,7703.397294,No,Basic,High School or Below,2/28/2011,Employed,M,36765
ET79815,California,5926.729379,Yes,Extended,College,1/25/2011,Retired,M,23091
QC35222,California,2683.470677,No,Basic,Bachelor,1/1/2011,Employed,F,48269
CJ15590,Oregon,2695.182419,No,Basic,Bachelor,2/1/2011,Employed,F,32720
OI48267,California,6047.02516,Yes,Extended,College,2/19/2011,Employed,M,20396
JY67916,Oregon,13171.01282,No,Premium,College,1/27/2011,Medical Leave,M,21513
OE75231,Washington,10656.88195,Yes,Extended,Bachelor,2/27/2011,Employed,F,72540
CZ33664,Oregon,2527.653796,No,Basic,Bachelor,1/17/2011,Employed,F,80744
WK30175,Oregon,2672.095756,No,Basic,Bachelor,2/10/2011,Employed,M,52822
ON44465,California,5313.294035,No,Extended,High School or Below,1/24/2011,Unemployed,F,
TV87155,Oregon,20946.19251,No,Basic,Bachelor,2/24/2011,Employed,F,69738
KH48895,Arizona,8375.353929,No,Basic,Master,2/15/2011,Medical Leave,F,17780
NZ30757,California,4801.661503,No,Basic,Bachelor,2/16/2011,Medical Leave,M,18107
RI22468,Arizona,5745.94334,No,Basic,Bachelor,1/22/2011,Employed,F,57740
FZ30935,Oregon,6066.115969,No,Extended,College,2/25/2011,Employed,M,32627
UG93476,California,8002.308333,Yes,Basic,College,1/11/2011,Unemployed,F,
AB96670,California,2393.915369,Yes,Basic,College,1/31/2011,Unemployed,M,
XK64261,Oregon,4762.8179,No,Basic,Bachelor,1/12/2011,Employed,M,65795
EV68375,California,4330.38602,Yes,Premium,College,2/16/2011,Employed,M,60475
UN51653,California,9402.729769,No,Extended,High School or Below,2/9/2011,Unemployed,F,0
TO96662,Oregon,6966.694527,No,Extended,Bachelor,1/19/2011,Employed,F,41837
MR52087,California,7694.064293,No,Basic,Bachelor,1/4/2011,Employed,F,32303
DE75225,Oregon,8717.561149,No,Basic,High School or Below,1/9/2011,Unemployed,M,
EP80820,California,5928.748528,No,Basic,Bachelor,1/27/2011,Employed,F,40531
GU99037,Oregon,2452.977288,No,Basic,College,2/14/2011,Employed,M,79898
WI57118,California,6701.571657,No,Extended,College,2/27/2011,Employed,M,56398
YQ74870,Washington,7556.24034,No,Extended,High School or Below,2/12/2011,Employed,M,35257
MQ14219,Arizona,8492.6988,No,Basic,College,2/26/2011,Employed,M,27804
KN20603,Oregon,7713.494046,No,Basic,Bachelor,2/20/2011,Employed,M,45506
CR48975,Washington,24084.5352,No,Basic,High School or Below,2/2/2011,Employed,M,65196
JI70886,California,7290.069769,No,Basic,High School or Below,2/15/2011,Unemployed,M,
VF72557,Oregon,4772.943848,Yes,Extended,High School or Below,2/18/2011,Retired,M,20993
OX28638,Arizona,6806.491395,No,Extended,High School or Below,1/21/2011,Employed,M,37839
SK55033,California,2469.781334,No,Basic,Bachelor,1/15/2011,Employed,F,92711
OO88645,California,3103.923041,No,Extended,College,2/5/2011,Employed,F,74665
YT36855,Washington,2981.875575,No,Extended,College,2/24/2011,Unemployed,M,
CW82151,California,8902.737595,No,Basic,Bachelor,1/5/2011,Employed,M,46833
DY22043,Oregon,5499.447223,No,Basic,High School or Below,1/28/2011,Employed,F,88768
SH36774,California,15023.59858,No,Basic,High School or Below,1/12/2011,Employed,M,28262
EM43724,Nevada,2509.107875,No,Basic,Bachelor,2/16/2011,Employed,F,33555
FH85960,Oregon,31221.7481,No,Premium,College,1/3/2011,Employed,M,42780
XA55993,Oregon,3133.503432,No,Extended,Master,2/7/2011,Employed,F,58850
GO36627,Arizona,3837.451863,No,Extended,College,1/13/2011,Employed,M,21880
QH48047,Oregon,11790.49617,Yes,Basic,College,1/3/2011,Retired,M,25251
RB50392,Washington,7838.068321,No,Basic,Master,2/17/2011,Unemployed,F,
UH65059,Arizona,4305.808345,No,Basic,High School or Below,1/21/2011,Employed,M,24188
FV21968,Nevada,5973.976904,No,Basic,Bachelor,1/26/2011,Employed,F,41611
QA87025,Oregon,5670.442396,No,Basic,Bachelor,1/31/2011,Employed,F,28406
TQ13499,Arizona,4731.749346,No,Premium,College,1/2/2011,Employed,M,69833
BU44523,Arizona,8026.379641,No,Basic,High School or Below,2/7/2011,Unemployed,F,
MS41162,Arizona,4022.963529,No,Basic,High School or Below,1/26/2011,Unemployed,M,
PU25891,Oregon,9618.310865,No,Basic,High School or Below,1/11/2011,Employed,F,80536
RB81636,Washington,2274.775451,No,Basic,College,1/15/2011,Unemployed,F,
SX26335,Oregon,9552.926922,No,Extended,College,2/8/2011,Employed,F,97732
AZ95587,Arizona,10388.55323,No,Extended,Bachelor,1/11/2011,Employed,F,61222
DS81757,Oregon,2470.121222,No,Basic,College,1/9/2011,Unemployed,M,
OJ94107,Arizona,5619.068508,No,Premium,Master,2/4/2011,Employed,M,50335
LP84436,California,9047.119209,No,Extended,High School or Below,1/21/2011,Unemployed,F,
YV64727,Washington,6692.143668,No,Premium,High School or Below,2/16/2011,Employed,M,63221
LM19287,Oregon,3731.504584,Yes,Extended,High School or Below,2/24/2011,Unemployed,F,0
ZU18643,Nevada,3660.770258,No,Extended,Bachelor,1/18/2011,Employed,M,
AZ82578,California,7928.829252,No,Basic,College,1/30/2011,Unemployed,F,
XC67861,Arizona,5011.751577,No,Basic,Bachelor,1/9/2011,Employed,F,28859
YC43143,Arizona,7988.258292,No,Extended,High School or Below,2/1/2011,Employed,F,77330
EK59571,Oregon,3885.456401,Yes,Premium,College,2/28/2011,Unemployed,M,
GD83998,Washington,2659.337982,No,Basic,Bachelor,1/31/2011,Employed,M,24495
WA25797,Washington,8564.768226,Yes,Basic,High School or Below,2/17/2011,Employed,M,95697
PD27940,Arizona,4885.162511,No,Extended,High School or Below,2/12/2011,Disabled,M,26372
BS77946,Arizona,9753.307106,No,Extended,Bachelor,2/24/2011,Medical Leave,F,17514
YM50253,California,2946.153697,No,Basic,Bachelor,2/1/2011,Employed,F,89270
NR15332,California,2581.110945,No,Basic,High School or Below,2/6/2011,Employed,M,29757
RC62865,Oregon,3517.385764,No,Extended,College,1/23/2011,Employed,M,51814
CC15295,Oregon,9743.350113,No,Extended,Bachelor,1/21/2011,Employed,F,24028
KA61892,Arizona,3873.647046,Yes,Basic,College,1/20/2011,Retired,M,28142
OS94884,Arizona,7649.28199,No,Basic,Bachelor,1/6/2011,Employed,F,52705
ND87334,California,2287.59692,No,Basic,High School or Below,2/22/2011,Unemployed,M,
ML93326,Washington,4475.424592,No,Basic,College,2/27/2011,Employed,F,84903
YL74911,California,8714.922135,Yes,Basic,College,2/21/2011,Unemployed,F,
JP69864,Washington,2248.449633,Yes,Basic,Bachelor,1/29/2011,Retired,F,24910
HL53154,California,7416.197322,No,Extended,Bachelor,2/22/2011,Unemployed,M,
RI78966,Oregon,7771.158973,No,Basic,Master,2/21/2011,Medical Leave,M,21876
IC13702,California,6968.3419,No,Basic,Bachelor,1/10/2011,Unemployed,F,
BE10809,California,4250.282624,Yes,Basic,High School or Below,1/18/2011,Unemployed,F,
HT87217,Oregon,19776.56654,No,Extended,High School or Below,1/16/2011,Employed,F,70699
TH95618,California,21343.46599,No,Basic,High School or Below,1/6/2011,Unemployed,F,0
TS19868,California,2413.139714,No,Basic,College,1/27/2011,Medical Leave,M,27501
LP45550,Oregon,15363.84716,No,Premium,Doctor,1/15/2011,Disabled,F,15897
QR87004,Nevada,8456.961887,No,Basic,College,1/9/2011,Employed,F,25141
OE75747,Nevada,2189.642522,No,Basic,College,1/28/2011,Unemployed,F,0
DX91392,California,5780.182197,Yes,Basic,High School or Below,2/26/2011,Employed,M,51066
AB72731,California,4639.981638,No,Basic,Bachelor,1/4/2011,Employed,F,28358
RU49126,Washington,4465.335703,No,Basic,College,2/1/2011,Employed,F,61846
IS12901,Arizona,5968.118877,No,Basic,Bachelor,1/27/2011,Employed,F,90972
IX37561,Washington,5097.763337,No,Basic,College,2/14/2011,Unemployed,F,0
HH90090,California,4076.634665,No,Basic,Bachelor,1/23/2011,Employed,F,29549
IU25463,California,12252.60179,No,Premium,Bachelor,2/18/2011,Unemployed,F,0
KC11055,Nevada,16936.27147,No,Extended,Bachelor,1/24/2011,Employed,F,
PD33979,Oregon,4892.435461,No,Basic,High School or Below,2/18/2011,Employed,M,21709
NK71023,Nevada,9942.304791,No,Extended,Bachelor,1/19/2011,Employed,M,67890
AB13432,California,3735.838129,No,Basic,Bachelor,1/4/2011,Unemployed,M,
OZ97704,California,13117.52215,No,Basic,High School or Below,2/7/2011,Employed,F,84311
UF46533,California,4574.524094,No,Basic,College,1/30/2011,Employed,F,99316
XP47431,Arizona,5470.060561,Yes,Extended,Bachelor,2/17/2011,Employed,F,54507
GK73582,California,2978.84601,No,Extended,Bachelor,1/13/2011,Employed,F,64586
RV98763,Oregon,6410.967544,No,Extended,College,2/8/2011,Employed,M,61709
II62831,California,4479.023088,No,Basic,Master,1/29/2011,Employed,M,94656
XK33449,California,2383.731879,No,Basic,High School or Below,2/5/2011,Unemployed,F,0
TR85083,California,2764.493659,No,Basic,Bachelor,1/20/2011,Employed,M,61085
EO95328,Oregon,7920.105377,No,Basic,Bachelor,1/27/2011,Employed,F,89284
EN21086,Arizona,6889.097981,No,Basic,High School or Below,1/9/2011,Unemployed,F,
YL83902,Washington,3274.194616,No,Extended,Bachelor,1/11/2011,Employed,F,31686
AZ62651,Oregon,9951.707743,No,Premium,High School or Below,2/17/2011,Employed,M,56855
ZW25874,Oregon,2521.555686,No,Basic,Bachelor,2/16/2011,Employed,M,53703
EH41854,Washington,23706.11337,No,Extended,High School or Below,2/10/2011,Unemployed,F,
MW70227,California,6047.02516,Yes,Extended,College,2/19/2011,Employed,M,20396
SL22297,California,11140.30248,No,Premium,Master,1/21/2011,Disabled,F,27679
RV14138,Nevada,4334.064096,Yes,Extended,Bachelor,2/27/2011,Retired,F,23904
UO62808,Arizona,2799.74791,No,Basic,High School or Below,2/4/2011,Employed,F,65351
ZX64745,California,7923.136624,No,Basic,College,1/18/2011,Unemployed,M,0
FL34139,California,3688.110888,No,Basic,High School or Below,2/3/2011,Unemployed,M,
TS11219,California,12067.45599,No,Basic,College,1/2/2011,Unemployed,M,
XX12304,California,2924.976721,No,Basic,College,1/9/2011,Employed,F,64459
SD64087,California,15014.0927,No,Premium,College,1/19/2011,Employed,M,32961
OY38576,Oregon,9277.233839,No,Basic,High School or Below,1/11/2011,Employed,F,71416
BG76355,Washington,6274.123875,No,Extended,Bachelor,1/31/2011,Employed,F,68964
IP66913,California,3886.647414,No,Extended,High School or Below,1/11/2011,Employed,M,78108
LE95702,California,4386.277558,Yes,Basic,College,2/11/2011,Retired,M,10621
KX54357,Washington,11365.26766,No,Extended,College,1/22/2011,Employed,M,84910
EZ78112,California,5610.96434,No,Basic,High School or Below,2/24/2011,Employed,F,77493
XN16891,Arizona,2912.892035,No,Basic,College,2/28/2011,Employed,M,81097
XK31350,Oregon,6915.729915,No,Extended,College,1/25/2011,Employed,F,96610
CC30924,Oregon,6262.663307,No,Premium,College,2/26/2011,Employed,M,30110
IT78748,Oregon,6503.397049,Yes,Extended,High School or Below,2/19/2011,Disabled,F,22081
KY33386,Washington,8007.399376,Yes,Basic,High School or Below,1/2/2011,Unemployed,F,0
CO44221,California,2929.916512,No,Basic,College,1/2/2011,Employed,M,98473
LK60013,Oregon,5969.55297,No,Basic,Bachelor,1/26/2011,Employed,F,97431
DE21533,California,5473.15987,No,Basic,Bachelor,2/2/2011,Employed,M,93870
YS94121,Nevada,5645.396665,No,Basic,High School or Below,2/27/2011,Employed,M,50366
UK68427,Washington,6369.262355,Yes,Extended,High School or Below,1/20/2011,Employed,M,34498
TE49565,Oregon,11833.76732,No,Basic,College,1/17/2011,Disabled,F,16552
RA88421,Oregon,6121.107929,No,Extended,College,1/17/2011,Employed,F,26787
KQ51983,Nevada,5159.369746,No,Basic,College,2/24/2011,Unemployed,M,0
CD88896,Nevada,2514.59196,Yes,Basic,High School or Below,2/14/2011,Employed,F,43860
YV22553,Arizona,8668.611261,No,Basic,High School or Below,2/20/2011,Employed,M,21474
WU14435,California,4960.965384,No,Basic,Bachelor,2/19/2011,Disabled,M,18174
XV84099,Arizona,5504.139033,Yes,Basic,Bachelor,2/8/2011,Unemployed,F,0
RI24911,Arizona,7507.455372,Yes,Basic,College,2/6/2011,Employed,M,60920
KO26461,Arizona,32269.85139,No,Extended,High School or Below,2/27/2011,Employed,M,41520
HI14283,Oregon,5657.031588,No,Premium,Bachelor,2/1/2011,Unemployed,F,
PT50227,Arizona,5061.757902,No,Basic,High School or Below,2/23/2011,Unemployed,M,
BH36570,California,5912.783829,No,Basic,Bachelor,1/11/2011,Employed,M,72208
TX17484,California,15182.27975,No,Basic,Bachelor,2/10/2011,Employed,F,53863
CT41158,Washington,10747.03094,No,Extended,College,2/25/2011,Employed,M,66446
AO87348,Washington,2050.623512,No,Basic,College,2/16/2011,Unemployed,M,0
DE55857,Washington,2465.444865,No,Basic,Bachelor,1/30/2011,Employed,F,64997
LF66923,Nevada,5343.121327,No,Basic,High School or Below,2/11/2011,Employed,F,64460
CN24514,Arizona,8119.829071,No,Basic,College,1/14/2011,Employed,F,46618
UW32074,Oregon,4605.265164,No,Basic,College,2/14/2011,Unemployed,F,0
HP36979,California,6408.785577,No,Extended,College,2/3/2011,Employed,M,49988
PP40919,California,2376.533508,No,Extended,College,1/31/2011,Unemployed,F,0
RO73268,California,3211.070017,No,Extended,Bachelor,2/15/2011,Disabled,M,16269
HO61691,Arizona,5094.522262,No,Basic,Bachelor,2/27/2011,Employed,F,72006
BS13062,Arizona,25755.27817,No,Extended,High School or Below,1/21/2011,Unemployed,F,
FO35655,Oregon,8672.229719,No,Extended,Bachelor,1/14/2011,Unemployed,M,
HR10526,California,8044.73072,No,Basic,Master,1/25/2011,Employed,M,44320
IA63417,Arizona,4001.519098,No,Premium,High School or Below,2/2/2011,Retired,F,19782
BH35016,Nevada,16706.11699,No,Basic,Bachelor,2/9/2011,Employed,F,63933
PK52952,Arizona,8544.411077,No,Basic,Doctor,2/28/2011,Employed,M,28224
OD76309,Washington,7805.31287,Yes,Basic,College,1/27/2011,Retired,F,21073
IL28481,Oregon,6112.756868,No,Extended,Bachelor,2/19/2011,Employed,M,63243
GY55092,Nevada,4772.943848,Yes,Extended,High School or Below,2/18/2011,Retired,M,20993
UF33451,Oregon,10979.09559,No,Extended,Bachelor,2/14/2011,Employed,F,94827
CF15558,California,5004.263818,No,Basic,Master,1/30/2011,Employed,F,39161
JM62924,Washington,13223.04379,No,Extended,Bachelor,2/9/2011,Employed,M,37534
EM66435,Oregon,2623.31543,No,Basic,Bachelor,2/6/2011,Employed,F,80210
QX45933,California,17840.19555,No,Basic,Bachelor,2/23/2011,Unemployed,M,0
JI71369,California,5106.111827,No,Basic,College,2/22/2011,Employed,F,30110
JU93290,Arizona,17930.60451,No,Basic,College,1/16/2011,Medical Leave,F,21708
GU66096,Arizona,5457.342569,No,Basic,High School or Below,2/2/2011,Employed,M,94731
UC33108,California,6563.644143,No,Extended,Bachelor,2/22/2011,Employed,M,32375
LW93867,Oregon,4812.525221,No,Basic,College,1/3/2011,Medical Leave,M,16531
OU78470,Arizona,29328.04185,No,Extended,Master,2/27/2011,Employed,F,32006
XW90265,Arizona,5773.520711,No,Basic,Bachelor,2/15/2011,Employed,F,81676
HS67749,California,6847.1189,No,Extended,College,1/11/2011,Employed,M,71038
VZ51506,Arizona,3595.31286,No,Basic,High School or Below,1/21/2011,Unemployed,F,0
UI64281,Nevada,22855.61209,No,Basic,Master,1/26/2011,Medical Leave,F,20832
AE98193,Washington,7859.414569,No,Basic,High School or Below,1/1/2011,Unemployed,M,0
AZ74055,Oregon,4115.577437,No,Premium,High School or Below,2/23/2011,Employed,M,52405
XS76911,Arizona,5029.638777,No,Extended,High School or Below,2/4/2011,Unemployed,F,0
AY40674,Washington,4821.418454,No,Extended,Bachelor,2/6/2011,Employed,F,26583
NA12740,Oregon,5004.310469,No,Basic,Master,2/10/2011,Disabled,M,25486
UA84837,Arizona,8630.053943,No,Premium,College,1/2/2011,Employed,M,24065
DJ51510,Arizona,9322.08512,No,Premium,High School or Below,2/10/2011,Employed,F,70435
VM58985,California,16727.56063,No,Extended,College,1/19/2011,Unemployed,M,0
OH60605,Oregon,3652.532435,No,Extended,High School or Below,2/23/2011,Employed,F,39679
UO98052,Nevada,6158.601171,No,Extended,College,1/7/2011,Unemployed,M,0
NC53424,California,4376.083958,No,Basic,Bachelor,1/14/2011,Unemployed,M,0
LQ13873,Nevada,5569.456156,No,Basic,High School or Below,2/15/2011,Employed,M,53565
LA97014,Washington,2576.513006,No,Basic,Bachelor,2/24/2011,Employed,M,37574
NB79936,Washington,8346.983233,No,Premium,Bachelor,2/2/2011,Employed,M,48259
NT89061,Arizona,6323.923864,No,Extended,High School or Below,1/7/2011,Employed,F,78532
AF10970,Arizona,5973.14343,No,Basic,Bachelor,2/28/2011,Employed,F,96163
ZG48513,California,4706.676993,No,Basic,Bachelor,2/17/2011,Unemployed,M,0
JQ59145,California,8093.410258,No,Basic,High School or Below,2/12/2011,Unemployed,M,0
FE84989,Washington,5035.744643,No,Basic,College,1/9/2011,Employed,M,72672
JT52858,Oregon,9027.867218,No,Premium,Bachelor,1/10/2011,Employed,F,99002
MC62068,California,7288.884849,No,Extended,High School or Below,1/8/2011,Employed,M,79494
EU27538,Oregon,18042.47942,No,Extended,Master,1/25/2011,Employed,M,35704
RH42306,Arizona,4992.063043,No,Basic,Bachelor,1/27/2011,Unemployed,F,0
US23612,Oregon,9102.267849,No,Premium,High School or Below,1/12/2011,Disabled,F,26049
WV76014,Arizona,2540.407726,No,Basic,Doctor,1/16/2011,Employed,M,70125
RK96223,California,12941.89193,No,Basic,College,1/22/2011,Employed,M,52369
MF82000,Washington,2365.348601,No,Basic,Bachelor,1/13/2011,Unemployed,F,0
FM46980,Arizona,5720.765064,No,Basic,College,2/11/2011,Employed,M,41770
SY56792,Oregon,7035.534088,No,Premium,High School or Below,1/4/2011,Unemployed,M,0
RF61565,California,2636.97773,No,Basic,College,1/29/2011,Employed,M,31911
IM94808,Nevada,5395.831967,No,Basic,Bachelor,2/28/2011,Employed,M,70051
VI14730,Oregon,8382.630118,Yes,Basic,High School or Below,2/4/2011,Retired,M,19683
YR34119,Washington,31161.74523,No,Basic,College,2/2/2011,Employed,F,30916
RR77985,Oregon,2887.742258,No,Extended,Bachelor,1/3/2011,Unemployed,F,
VC22097,Washington,8714.922135,Yes,Basic,College,2/21/2011,Unemployed,F,
WV17090,California,25585.72783,No,Basic,Bachelor,2/1/2011,Unemployed,M,
TM23514,Oregon,10272.6082,No,Extended,College,1/1/2011,Employed,M,60145
MQ68407,Oregon,4376.363592,Yes,Premium,Bachelor,2/28/2011,Employed,F,63774
GJ59592,California,5318.89664,Yes,Basic,Bachelor,1/12/2011,Employed,F,25134
FY56083,Oregon,4719.762191,No,Basic,Bachelor,2/13/2011,Employed,M,37057
UA94723,Oregon,4428.031583,Yes,Basic,High School or Below,1/29/2011,Employed,F,58577
FW91032,California,5879.176092,No,Basic,High School or Below,2/13/2011,Employed,M,85857
DE34457,Oregon,9416.908485,No,Basic,Doctor,1/22/2011,Employed,F,70602
HD32044,Oregon,8288.155579,No,Premium,Master,1/25/2011,Employed,F,33816
HH30454,Oregon,32654.8383,No,Premium,Bachelor,2/23/2011,Unemployed,M,0
AH84063,Oregon,4719.450052,No,Extended,College,2/18/2011,Employed,F,89642
QA17596,California,3903.474784,No,Extended,Bachelor,1/3/2011,Employed,F,60068
XI41052,California,5457.259678,No,Extended,Bachelor,1/9/2011,Employed,F,50044
DI30528,California,2725.356404,Yes,Basic,Master,1/3/2011,Employed,F,36650
SC66359,Arizona,4433.97368,No,Basic,College,2/21/2011,Employed,F,50653
EN61670,Arizona,5332.462694,Yes,Basic,Doctor,2/22/2011,Employed,F,68931
DQ10761,Oregon,2315.094985,No,Basic,Bachelor,1/9/2011,Unemployed,M,0
BQ51587,California,5411.953687,No,Basic,College,2/7/2011,Unemployed,F,0
JE21522,California,9587.33234,No,Extended,Bachelor,2/26/2011,Employed,M,39266
WS47147,California,22103.5072,Yes,Basic,College,1/30/2011,Unemployed,M,0
ZA64638,Nevada,9764.945308,No,Extended,High School or Below,2/28/2011,Unemployed,F,0
EW38459,Nevada,2567.151468,No,Basic,Bachelor,2/20/2011,Employed,F,40864
QW87316,Oregon,2650.622781,No,Basic,College,1/20/2011,Employed,F,39035
