CustomerID,LocationCode,MaritalStatus,MonthlyPremiumAuto,MonthsSinceLastClaim,MonthsSincePolicyInception,NumberofOpenComplaints,NumberofPolicies,PolicyType,Policy,RenewOfferType,SalesChannel,TotalClaimAmount,VehicleClass,VehicleSize
BN87372,Suburban,Divorced,65,5,68,3,9,Personal Auto,,Offer2,Branch,467.803638,Two-Door Car,Medsize
YX23800,Suburban,Married,73,27,38,0,2,Personal Auto,,Offer2,Branch,350.4,Four-Door Car,Small
DZ87709,Rural,Single,71,17,48,0,6,Personal Auto,,Offer2,Call Center,29.03416,Four-Door Car,Medsize
XW13033,Suburban,Married,67,20,33,0,2,Personal Auto,,Offer2,Agent,321.6,Four-Door Car,Medsize
LN31673,Rural,Married,99,6,83,2,2,Personal Auto,,Offer1,Agent,115.728852,Four-Door Car,Medsize
OM82309,Rural,Single,186,0,30,1,2,Personal Auto,,Offer2,Branch,427.63121,Luxury Car,Small
ZU35962,Rural,Single,77,20,26,0,2,Personal Auto,,Offer3,Branch,25.807685,Two-Door Car,Large
VH85817,Suburban,Single,74,23,0,0,8,Personal Auto,,Offer2,Call Center,787.993313,Four-Door Car,Medsize
DT85712,Suburban,Married,102,12,54,0,1,Personal Auto,,Offer3,Branch,489.6,SUV,Medsize
YJ88573,Suburban,Married,63,35,15,0,1,Personal Auto,,Offer2,Call Center,302.4,Four-Door Car,Large
SQ19467,Suburban,Single,90,28,69,0,3,Personal Auto,,Offer2,Agent,475.623251,Four-Door Car,Small
HF88410,Suburban,Married,66,15,32,1,2,Personal Auto,,Offer1,Call Center,320.849072,Four-Door Car,Medsize
ET79815,Suburban,Married,96,28,90,5,5,Personal Auto,,Offer1,Agent,460.8,Four-Door Car,Medsize
QC35222,Urban,Married,69,3,79,3,1,Corporate Auto,,Offer3,Web,282.151207,Four-Door Car,Medsize
CJ15590,Suburban,Divorced,67,13,12,0,1,Personal Auto,,Offer3,Branch,321.6,Four-Door Car,Medsize
OI48267,Suburban,Married,76,15,60,1,4,Personal Auto,,Offer1,Branch,364.8,Four-Door Car,Medsize
JY67916,Suburban,Married,119,21,81,1,2,Personal Auto,,Offer2,Branch,679.827592,Two-Door Car,Small
OE75231,Suburban,Married,88,7,3,0,2,Corporate Auto,,Offer2,Call Center,631.743039,Two-Door Car,Medsize
CZ33664,Rural,Married,63,24,84,0,1,Corporate Auto,,Offer1,Agent,11.879037,Four-Door Car,Medsize
WK30175,Suburban,Married,67,23,88,0,1,Corporate Auto,,Offer1,Branch,350.529033,Two-Door Car,Small
ON44465,Suburban,Single,77,8,10,1,9,Personal Auto,,Offer1,Agent,863.3947,Four-Door Car,Medsize
TV87155,Suburban,Married,74,2,26,1,2,Personal Auto,,Offer1,Branch,492.127532,Four-Door Car,Large
KH48895,Rural,Married,109,12,18,0,9,Personal Auto,,Offer1,Branch,132.588288,SUV,Medsize
NZ30757,Suburban,Married,62,29,11,0,8,Personal Auto,,Offer1,Agent,297.6,Four-Door Car,Medsize
RI22468,Urban,Married,74,30,87,3,9,Personal Auto,,Offer3,Web,269.905129,Four-Door Car,Medsize
FZ30935,Suburban,Married,76,11,60,0,7,Personal Auto,,Offer1,Agent,380.036697,Two-Door Car,Small
UG93476,Suburban,Married,107,3,65,0,3,Personal Auto,,Offer1,Agent,513.6,SUV,Medsize
AB96670,Suburban,Single,70,24,10,0,1,Personal Auto,,Offer1,Branch,425.266308,Four-Door Car,Medsize
XK64261,Rural,Single,62,2,85,1,3,Corporate Auto,,Offer3,Call Center,49.011099,Two-Door Car,Medsize
EV68375,Suburban,Married,107,9,18,0,1,Personal Auto,,Offer2,Branch,513.6,Four-Door Car,Medsize
UN51653,Suburban,Single,130,28,88,0,4,Personal Auto,,Offer1,Web,936,SUV,Medsize
TO96662,Rural,Married,88,29,93,0,9,Personal Auto,,Offer1,Call Center,142.062768,Four-Door Car,Small
MR52087,Rural,Married,65,13,34,0,2,Personal Auto,,Offer3,Branch,45.152521,Four-Door Car,Medsize
DE75225,Suburban,Married,117,5,89,1,3,Personal Auto,,Offer1,Agent,561.6,SUV,Medsize
EP80820,Rural,Married,74,17,32,0,9,Personal Auto,,Offer1,Agent,30.567357,Two-Door Car,Medsize
GU99037,Urban,Married,62,5,86,1,1,Corporate Auto,,Offer4,Agent,271.606799,Four-Door Car,Medsize
WI57118,Suburban,Married,85,4,18,0,7,Personal Auto,,Offer4,Agent,408,Four-Door Car,Small
YQ74870,Suburban,Divorced,98,16,2,1,8,Corporate Auto,,Offer2,Web,470.4,Four-Door Car,Small
MQ14219,Suburban,Married,109,19,54,0,7,Personal Auto,,Offer2,Branch,784.8,SUV,Medsize
KN20603,Suburban,Single,66,16,32,2,2,Personal Auto,,Offer1,Agent,316.8,Four-Door Car,Medsize
CR48975,Suburban,Married,67,0,54,0,2,Personal Auto,,Offer4,Branch,396.082036,Four-Door Car,Medsize
JI70886,Suburban,Married,102,11,70,1,3,Corporate Auto,,Offer1,Agent,489.6,SUV,Medsize
VF72557,Suburban,Divorced,133,35,90,0,1,Personal Auto,,Offer2,Agent,638.4,SUV,Medsize
OX28638,Suburban,Married,86,35,77,0,9,Personal Auto,,Offer2,Branch,465.633954,Two-Door Car,Medsize
SK55033,Suburban,Single,62,24,10,0,1,Personal Auto,,Offer3,Agent,368.400146,Two-Door Car,Medsize
OO88645,Urban,Married,78,10,90,2,1,Corporate Auto,,Offer2,Call Center,236.902001,Four-Door Car,Medsize
YT36855,Suburban,Married,83,26,89,0,1,Personal Auto,,Offer3,Web,582.679087,Two-Door Car,Medsize
CW82151,Rural,Married,112,6,3,0,9,Personal Auto,,Offer1,Call Center,64.109663,Sports Car,Medsize
DY22043,Suburban,Married,68,17,77,0,7,Personal Auto,,Offer3,Branch,326.4,Two-Door Car,Small
SH36774,Suburban,Single,192,9,77,0,3,Personal Auto,,Offer3,Web,921.6,Luxury SUV,Medsize
EM43724,Rural,Married,63,17,11,0,1,Personal Auto,,Offer1,Agent,101.89645,Four-Door Car,Medsize
FH85960,Suburban,Divorced,113,10,27,1,2,Personal Auto,,Offer1,Call Center,542.4,Four-Door Car,Medsize
XA55993,Rural,Single,78,20,26,0,1,Personal Auto,,Offer2,Branch,143.747794,Four-Door Car,Medsize
GO36627,Urban,Married,97,29,37,0,1,Special Auto,,Offer1,Branch,424.077159,Four-Door Car,Medsize
QH48047,Suburban,Divorced,66,13,43,0,2,Personal Auto,,Offer2,Web,316.8,Four-Door Car,Medsize
RB50392,Rural,Married,69,9,12,0,2,Personal Auto,,Offer2,Agent,2.704934,Four-Door Car,Medsize
UH65059,Suburban,Married,109,14,82,0,1,Personal Auto,,Offer1,Agent,523.2,Sports Car,Medsize
FV21968,Rural,Married,74,14,8,0,8,Special Auto,,Offer1,Branch,113.801497,Four-Door Car,Medsize
QA87025,Urban,Married,72,16,35,1,4,Personal Auto,,Offer1,Call Center,192.87572,Four-Door Car,Medsize
TQ13499,Suburban,Married,118,32,99,0,1,Personal Auto,,Offer1,Agent,828.662719,Four-Door Car,Small
BU44523,Suburban,Single,74,15,91,0,2,Corporate Auto,,Offer1,Web,532.8,Four-Door Car,Small
MS41162,Suburban,Single,117,6,1,0,1,Personal Auto,,Offer1,Agent,975.107098,SUV,Medsize
PU25891,Rural,Married,119,5,83,0,3,Special Auto,,Offer1,Branch,53.798708,Sports Car,Medsize
RB81636,Suburban,Single,63,2,5,0,1,Personal Auto,,Offer2,Agent,606.642452,Four-Door Car,Small
SX26335,Urban,Married,79,0,70,0,2,Personal Auto,,Offer4,Branch,289.9122,Four-Door Car,Medsize
AZ95587,Urban,Single,89,20,55,0,2,Special Auto,,Offer3,Branch,392.604371,Four-Door Car,Small
DS81757,Suburban,Single,74,7,20,0,1,Personal Auto,,Offer4,Web,721.242206,Two-Door Car,Large
OJ94107,Urban,Married,140,9,54,0,1,Personal Auto,,Offer1,Call Center,456.52385,SUV,Medsize
LP84436,Suburban,Single,127,30,11,0,6,Personal Auto,,Offer3,Branch,1087.995426,Sports Car,Medsize
YV64727,Suburban,Married,168,28,49,0,1,Corporate Auto,,Offer3,Agent,806.4,SUV,Medsize
LM19287,Suburban,Married,96,31,34,0,1,Personal Auto,,Offer1,Agent,460.8,Four-Door Car,Large
ZU18643,Urban,Married,92,34,30,0,1,Corporate Auto,,Offer4,Web,251.992083,Four-Door Car,Medsize
AZ82578,Suburban,Married,72,7,75,0,2,Corporate Auto,,Offer1,Call Center,345.6,Four-Door Car,Medsize
XC67861,Suburban,Divorced,67,24,51,3,4,Corporate Auto,,Offer1,Call Center,321.6,Two-Door Car,Medsize
YC43143,Rural,Married,99,0,21,0,3,Personal Auto,,Offer2,Web,99.257608,Four-Door Car,Medsize
EK59571,Suburban,Married,105,3,92,0,1,Corporate Auto,,Offer1,Branch,504,Four-Door Car,Large
GD83998,Suburban,Single,70,29,65,0,1,Personal Auto,,Offer4,Branch,336,Four-Door Car,Small
WA25797,Rural,Married,107,29,29,0,9,Personal Auto,,Offer2,Agent,178.006524,Sports Car,Medsize
PD27940,Suburban,Married,126,11,7,0,1,Personal Auto,,Offer4,Agent,604.8,SUV,Medsize
BS77946,Rural,Married,127,2,5,0,3,Personal Auto,,Offer1,Branch,8.312729,SUV,Medsize
YM50253,Urban,Single,74,17,90,0,1,Personal Auto,,Offer2,Branch,316.599228,Four-Door Car,Medsize
NR15332,Suburban,Married,65,13,55,0,1,Personal Auto,,Offer2,Web,312,Four-Door Car,Small
RC62865,Rural,Single,92,28,89,0,1,Personal Auto,,Offer3,Agent,56.300724,Four-Door Car,Medsize
CC15295,Suburban,Married,82,14,27,0,2,Personal Auto,,Offer2,Agent,393.6,Four-Door Car,Small
KA61892,Suburban,Married,105,18,50,0,1,Personal Auto,,Offer2,Agent,701.708239,Sports Car,Medsize
OS94884,Rural,Married,64,14,8,1,2,Personal Auto,,Offer1,Web,128.705563,Two-Door Car,Large
ND87334,Suburban,Married,63,1,5,0,1,Corporate Auto,,Offer2,Agent,679.368378,Two-Door Car,Medsize
ML93326,Urban,Married,111,7,63,0,1,Personal Auto,,Offer1,Agent,497.126827,SUV,Medsize
YL74911,Suburban,Divorced,118,14,64,0,4,Personal Auto,,Offer1,Agent,566.4,SUV,Medsize
JP69864,Suburban,Single,63,7,63,1,1,Personal Auto,,Offer1,Branch,347.857619,Four-Door Car,Medsize
HL53154,Suburban,Single,77,15,12,2,2,Personal Auto,,Offer1,Agent,554.4,Four-Door Car,Medsize
RI78966,Suburban,Married,68,12,28,0,2,Personal Auto,,Offer1,Agent,465.41477,Four-Door Car,Small
IC13702,Suburban,Single,69,33,61,1,2,Personal Auto,,Offer1,Agent,496.8,Four-Door Car,Small
BE10809,Suburban,Single,61,17,1,1,7,Personal Auto,,Offer1,Agent,292.8,Four-Door Car,Small
HT87217,Urban,Divorced,82,1,57,0,2,Personal Auto,,Offer3,Agent,256.813837,Four-Door Car,Medsize
TH95618,Suburban,Married,74,11,85,1,2,Personal Auto,,Offer1,Agent,355.2,Four-Door Car,Medsize
TS19868,Suburban,Married,63,20,0,0,1,Personal Auto,,Offer4,Branch,542.319401,Four-Door Car,Medsize
LP45550,Urban,Divorced,101,30,99,0,2,Personal Auto,,Offer2,Agent,303.148399,Four-Door Car,Medsize
QR87004,Rural,Divorced,73,12,4,1,2,Personal Auto,,Offer3,Agent,25.438063,Four-Door Car,Medsize
OE75747,Suburban,Married,61,5,46,3,1,Personal Auto,,Offer3,Agent,292.8,Four-Door Car,Small
DX91392,Suburban,Single,74,23,0,0,8,Personal Auto,,Offer2,Call Center,787.993313,Four-Door Car,Medsize
AB72731,Rural,Married,117,24,37,0,1,Personal Auto,,Offer2,Call Center,84.024413,Sports Car,Medsize
RU49126,Rural,Married,112,1,48,0,1,Personal Auto,,Offer2,Agent,215.8182,SUV,Medsize
IS12901,Urban,Married,74,3,47,0,8,Personal Auto,,Offer2,Call Center,232.926145,Two-Door Car,Medsize
IX37561,Suburban,Single,74,3,95,0,7,Personal Auto,,Offer3,Web,532.8,Two-Door Car,Medsize
HH90090,Suburban,Divorced,104,17,51,0,1,Personal Auto,,Offer2,Call Center,710.433775,Sports Car,Small
IU25463,Suburban,Married,115,12,17,1,2,Personal Auto,,Offer1,Agent,552,Four-Door Car,Medsize
KC11055,Suburban,Married,217,4,29,2,4,Personal Auto,,Offer3,Branch,1122.658899,Luxury Car,Medsize
PD33979,Suburban,Married,62,28,17,0,3,Personal Auto,,Offer2,Branch,408.374746,Four-Door Car,Large
NK71023,Suburban,Single,85,23,57,0,2,Personal Auto,,Offer4,Agent,408,Four-Door Car,Small
AB13432,Suburban,Single,110,3,16,0,1,Personal Auto,,Offer1,Agent,792,SUV,Medsize
OZ97704,Suburban,Single,111,11,98,4,2,Personal Auto,,Offer3,Call Center,532.8,SUV,Small
UF46533,Suburban,Single,114,26,53,0,1,Corporate Auto,,Offer2,Branch,754.358929,SUV,Medsize
XP47431,Suburban,Married,138,20,11,0,1,Personal Auto,,Offer2,Agent,702.990032,SUV,Medsize
GK73582,Urban,Single,76,3,17,0,1,Personal Auto,,Offer3,Branch,206.837111,Four-Door Car,Medsize
RV98763,Urban,Married,82,5,41,2,7,Personal Auto,,Offer3,Branch,275.395894,Four-Door Car,Medsize
II62831,Urban,Married,111,12,79,1,1,Special Auto,,Offer4,Web,459.738128,SUV,Medsize
XK33449,Suburban,Single,69,5,40,0,1,Special Auto,,Offer4,Branch,496.8,Two-Door Car,Small
TR85083,Suburban,Married,70,27,34,1,1,Personal Auto,,Offer2,Branch,336,Two-Door Car,Medsize
EO95328,Suburban,Married,67,7,31,3,2,Personal Auto,,Offer4,Agent,321.6,Two-Door Car,Small
EN21086,Suburban,Divorced,63,6,12,0,2,Personal Auto,,Offer1,Branch,302.4,Four-Door Car,Small
YL83902,Suburban,Married,81,11,33,0,1,Personal Auto,,Offer1,Agent,430.994107,Four-Door Car,Small
AZ62651,Suburban,Single,255,12,1,0,1,Corporate Auto,,Offer4,Web,1836,Luxury SUV,Medsize
ZW25874,Rural,Single,67,3,45,2,1,Special Auto,,Offer1,Branch,67.632476,Four-Door Car,Medsize
EH41854,Suburban,Single,96,12,35,1,2,Personal Auto,,Offer3,Branch,844.481918,Two-Door Car,Medsize
MW70227,Suburban,Married,76,15,60,1,4,Personal Auto,,Offer1,Branch,364.8,Four-Door Car,Medsize
SL22297,Suburban,Single,150,30,28,0,3,Personal Auto,,Offer1,Call Center,722.486994,SUV,Medsize
RV14138,Suburban,Single,123,1,67,3,1,Personal Auto,,Offer1,Agent,590.4,SUV,Medsize
UO62808,Suburban,Married,69,4,54,0,1,Corporate Auto,,Offer2,Call Center,481.027516,Four-Door Car,Medsize
ZX64745,Suburban,Single,113,20,1,0,7,Personal Auto,,Offer1,Agent,1124.427734,SUV,Medsize
FL34139,Suburban,Single,63,0,54,3,7,Personal Auto,,Offer1,Call Center,669.682001,Four-Door Car,Medsize
TS11219,Suburban,Single,116,14,35,0,2,Personal Auto,,Offer1,Agent,1284.093173,SUV,Medsize
XX12304,Urban,Married,72,16,64,0,1,Personal Auto,,Offer2,Branch,240.259479,Four-Door Car,Medsize
SD64087,Suburban,Married,190,13,53,0,3,Corporate Auto,,Offer1,Branch,912,SUV,Small
OY38576,Suburban,Divorced,116,10,0,0,3,Corporate Auto,,Offer2,Agent,556.8,SUV,Medsize
BG76355,Rural,Married,78,15,6,0,3,Personal Auto,,Offer3,Web,115.086827,Four-Door Car,Medsize
IP66913,Suburban,Single,98,12,34,0,1,Personal Auto,,Offer2,Agent,470.4,Two-Door Car,Small
LE95702,Suburban,Single,67,28,22,0,5,Special Auto,,Offer1,Agent,321.6,Four-Door Car,Medsize
KX54357,Urban,Married,95,4,69,0,2,Corporate Auto,,Offer2,Web,383.167471,Two-Door Car,Small
EZ78112,Urban,Single,70,2,35,0,3,Special Auto,,Offer1,Agent,307.963291,Four-Door Car,Medsize
XN16891,Suburban,Divorced,74,7,67,0,1,Personal Auto,,Offer4,Agent,355.2,Four-Door Car,Small
XK31350,Suburban,Married,85,6,23,0,3,Corporate Auto,,Offer4,Call Center,520.364752,Four-Door Car,Large
CC30924,Urban,Married,159,20,71,0,1,Corporate Auto,,Offer4,Agent,466.436375,Sports Car,Small
IT78748,Suburban,Married,84,1,9,0,6,Special Auto,,Offer1,Agent,451.670309,Two-Door Car,Small
KY33386,Suburban,Divorced,112,12,93,0,3,Personal Auto,,Offer1,Web,537.6,Sports Car,Medsize
CO44221,Suburban,Married,72,19,69,0,1,Personal Auto,,Offer2,Branch,345.6,Four-Door Car,Medsize
LK60013,Suburban,Married,74,1,72,0,3,Personal Auto,,Offer3,Branch,355.2,Four-Door Car,Medsize
DE21533,Suburban,Divorced,69,1,96,0,8,Personal Auto,,Offer1,Call Center,331.2,Four-Door Car,Medsize
YS94121,Suburban,Divorced,72,9,5,0,9,Personal Auto,,Offer1,Call Center,428.734656,Four-Door Car,Small
UK68427,Suburban,Single,83,30,72,0,7,Personal Auto,,Offer2,Branch,398.4,Two-Door Car,Small
TE49565,Suburban,Married,103,23,53,0,2,Personal Auto,,Offer2,Call Center,494.4,SUV,Small
RA88421,Suburban,Married,77,7,50,0,5,Personal Auto,,Offer3,Branch,369.6,Four-Door Car,Medsize
KQ51983,Suburban,Single,74,2,42,0,9,Personal Auto,,Offer1,Branch,831.752839,Two-Door Car,Medsize
CD88896,Rural,Single,65,15,58,0,1,Corporate Auto,,Offer2,Agent,156.124914,Four-Door Car,Medsize
YV22553,Urban,Married,114,13,72,2,9,Corporate Auto,,Offer1,Agent,373.428187,SUV,Small
WU14435,Suburban,Married,66,8,16,0,9,Corporate Auto,,Offer1,Agent,395.934815,Four-Door Car,Small
XV84099,Suburban,Married,73,18,45,0,5,Corporate Auto,,Offer1,Call Center,350.4,Four-Door Car,Medsize
RI24911,Urban,Single,64,10,61,0,2,Personal Auto,,Offer2,Agent,231.201886,Two-Door Car,Medsize
KO26461,Urban,Married,90,18,70,0,2,Personal Auto,,Offer1,Agent,289.904105,Four-Door Car,Medsize
HI14283,Suburban,Married,152,12,89,0,1,Personal Auto,,Offer1,Web,729.6,SUV,Small
PT50227,Suburban,Married,68,19,16,0,8,Personal Auto,,Offer3,Call Center,326.4,Two-Door Car,Medsize
BH36570,Suburban,Married,73,3,84,0,8,Personal Auto,,Offer1,Branch,350.4,Two-Door Car,Small
TX17484,Rural,Married,63,12,30,0,2,Personal Auto,,Offer1,Web,105.765111,Four-Door Car,Large
CT41158,Urban,Divorced,136,8,77,0,3,Corporate Auto,,Offer2,Branch,639.464548,SUV,Large
AO87348,Suburban,Single,61,18,26,0,1,Personal Auto,,Offer2,Agent,292.8,Four-Door Car,Small
DE55857,Suburban,Single,63,7,99,1,1,Personal Auto,,Offer2,Agent,383.442328,Four-Door Car,Small
LF66923,Suburban,Married,66,18,42,0,3,Corporate Auto,,Offer2,Agent,316.8,Two-Door Car,Small
CN24514,Rural,Married,67,22,77,0,2,Personal Auto,,Offer3,Agent,99.085943,Four-Door Car,Large
UW32074,Suburban,Divorced,64,13,64,0,4,Corporate Auto,,Offer1,Branch,307.2,Four-Door Car,Small
